Label,TMin,TMax,XMin,XMax,YMin,YMax,Note
wx_strat_narrow_01,1596200000,1596203600,120.020000,120.340000,31.520000,31.880000,tier=narrow 1h ~0.32x0.36deg quadrant NW in sharp_spatiotemporal box
wx_strat_narrow_02,1596200000,1596203600,120.280000,120.600000,31.480000,31.950000,tier=narrow 1h ~0.32x0.47deg quadrant NE in sharp box
wx_strat_narrow_03,1596200000,1596203600,120.000000,120.360000,31.400000,31.720000,tier=narrow 1h ~0.36x0.32deg quadrant SW in sharp box
wx_strat_narrow_04,1596200000,1596203600,120.180000,120.600000,31.550000,31.950000,tier=narrow 1h ~0.42x0.40deg SE corner expanded for key>=50 on 1sst
